backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gdp,2,1,0,0,0,20.34,372.95,364.1,382.53,ep2_channels1_repeat0.log
rc_gdp,2,1,0,1,0,20.37,372.4,357.18,382.08,ep2_channels1_repeat0.log
rc_gdp,2,1,0,2,0,20.34,372.97,361.89,377.31,ep2_channels1_repeat0.log
rc_gdp,2,1,0,3,0,20.35,372.82,363.94,380.32,ep2_channels1_repeat0.log
rc_gdp,2,2,0,0,0,35.49,213.75,208.77,219.01,ep2_channels2_repeat0.log
rc_gdp,2,2,0,1,0,35.56,213.34,208.35,218.56,ep2_channels2_repeat0.log
rc_gdp,2,2,0,2,0,35.57,213.29,208.26,218.53,ep2_channels2_repeat0.log
rc_gdp,2,2,0,3,0,35.57,213.24,208.29,218.53,ep2_channels2_repeat0.log
rc_gdp,2,4,0,0,0,35.54,213.45,208.8,219.07,ep2_channels4_repeat0.log
rc_gdp,2,4,0,1,0,35.55,213.4,204.67,219.04,ep2_channels4_repeat0.log
rc_gdp,2,4,0,2,0,35.64,212.84,207.65,218.21,ep2_channels4_repeat0.log
rc_gdp,2,4,0,3,0,35.63,212.93,208.29,220.61,ep2_channels4_repeat0.log
rc_gdp,2,8,0,0,0,35.17,215.69,210.82,219.04,ep2_channels8_repeat0.log
rc_gdp,2,8,0,1,0,35.31,214.81,209.66,220.29,ep2_channels8_repeat0.log
rc_gdp,2,8,0,2,0,35.24,215.23,209.31,220.61,ep2_channels8_repeat0.log
rc_gdp,2,8,0,3,0,35.27,215.06,206.4,223.42,ep2_channels8_repeat0.log
rc_gdp,2,16,0,0,0,35.11,216.06,210.24,222.85,ep2_channels16_repeat0.log
rc_gdp,2,16,0,1,0,35.04,216.46,210.85,223.17,ep2_channels16_repeat0.log
rc_gdp,2,16,0,2,0,35.1,216.14,212.61,220.8,ep2_channels16_repeat0.log
rc_gdp,2,16,0,3,0,35.13,215.96,212.32,220.54,ep2_channels16_repeat0.log
