backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,2,1,0,0,0,36.71,206.66,199.78,213.98,ep2/channels1_repeat0.log
rc_gda,2,1,0,1,0,36.61,207.22,200.35,216.74,ep2/channels1_repeat0.log
rc_gda,2,1,0,2,0,36.72,206.59,199.65,214.14,ep2/channels1_repeat0.log
rc_gda,2,1,0,3,0,36.72,206.57,199.78,214.08,ep2/channels1_repeat0.log
rc_gda,2,1,1,0,0,36.55,207.52,200.58,214.94,ep2/channels1_repeat1.log
rc_gda,2,1,1,1,0,36.66,206.91,200.29,216.67,ep2/channels1_repeat1.log
rc_gda,2,1,1,2,0,36.58,207.38,202.66,214.91,ep2/channels1_repeat1.log
rc_gda,2,1,1,3,0,36.65,206.99,200.1,216.51,ep2/channels1_repeat1.log
rc_gda,2,1,2,0,0,36.51,207.79,200.1,214.43,ep2/channels1_repeat2.log
rc_gda,2,1,2,1,0,36.43,208.24,202.62,217.02,ep2/channels1_repeat2.log
rc_gda,2,1,2,2,0,36.51,207.77,196.0,220.58,ep2/channels1_repeat2.log
rc_gda,2,1,2,3,0,36.57,207.42,197.76,216.19,ep2/channels1_repeat2.log
rc_gda,2,2,0,0,0,46.3,163.85,155.78,171.1,ep2/channels2_repeat0.log
rc_gda,2,2,0,1,0,46.09,164.57,155.52,169.89,ep2/channels2_repeat0.log
rc_gda,2,2,0,2,0,46.2,164.18,155.04,174.53,ep2/channels2_repeat0.log
rc_gda,2,2,0,3,0,46.22,164.11,155.04,169.41,ep2/channels2_repeat0.log
rc_gda,2,2,1,0,0,46.14,164.42,155.71,173.73,ep2/channels2_repeat1.log
rc_gda,2,2,1,1,0,46.03,164.8,157.6,171.9,ep2/channels2_repeat1.log
rc_gda,2,2,1,2,0,46.17,164.31,156.93,171.58,ep2/channels2_repeat1.log
rc_gda,2,2,1,3,0,46.17,164.29,155.01,169.6,ep2/channels2_repeat1.log
rc_gda,2,2,2,0,0,46.27,163.95,154.94,171.04,ep2/channels2_repeat2.log
rc_gda,2,2,2,1,0,46.02,164.83,157.6,178.08,ep2/channels2_repeat2.log
rc_gda,2,2,2,2,0,46.16,164.32,157.09,173.47,ep2/channels2_repeat2.log
rc_gda,2,2,2,3,0,46.17,164.28,157.09,175.49,ep2/channels2_repeat2.log
rc_gda,2,4,0,0,0,46.1,164.56,157.22,171.33,ep2/channels4_repeat0.log
rc_gda,2,4,0,1,0,46.11,164.5,159.01,171.65,ep2/channels4_repeat0.log
rc_gda,2,4,0,2,0,46.12,164.48,156.29,173.7,ep2/channels4_repeat0.log
rc_gda,2,4,0,3,0,46.17,164.29,157.09,171.42,ep2/channels4_repeat0.log
rc_gda,2,4,1,0,0,46.37,163.58,156.74,173.12,ep2/channels4_repeat1.log
rc_gda,2,4,1,1,0,46.24,164.06,157.31,171.39,ep2/channels4_repeat1.log
rc_gda,2,4,1,2,0,46.27,163.93,157.06,171.46,ep2/channels4_repeat1.log
rc_gda,2,4,1,3,0,46.31,163.82,157.09,175.49,ep2/channels4_repeat1.log
rc_gda,2,4,2,0,0,46.07,164.65,156.96,175.74,ep2/channels4_repeat2.log
