backend,experts_per_rank,channels,completed_repeats,mean_dispatch_bandwidth_gbps,stdev_dispatch_bandwidth_gbps,min_repeat_dispatch_bandwidth_gbps,max_repeat_dispatch_bandwidth_gbps
rc_gda,2,1,3,36.60166666666667,0.09278110439811313,36.504999999999995,36.69
rc_gda,2,2,3,46.16166666666667,0.03794184145944193,46.1275,46.2025
rc_gda,2,4,3,46.18,0.10182705927208126,46.1175,46.2975
rc_gda,2,8,3,46.373333333333335,0.13519276361305088,46.275,46.5275
rc_gda,2,16,3,46.185,0.010000000000001563,46.175,46.195
rc_gda,2,32,3,46.27,0.07262919523166778,46.2,46.345
rc_gda,4,1,3,40.67333333333333,0.03262795325075306,40.6475,40.71
rc_gda,4,2,3,50.8225,0.06189709201569983,50.775,50.8925
rc_gda,4,4,3,52.464166666666664,0.02809952550014481,52.44,52.495
rc_gda,4,8,3,52.5225,0.04548351349665027,52.47,52.55
rc_gda,4,16,3,52.50833333333333,0.041407527496014236,52.465,52.5475
rc_gda,4,32,3,52.51833333333333,0.10539607835841555,52.43,52.635
rc_gda,8,1,3,39.678333333333335,0.07417602937157991,39.6225,39.7625
rc_gda,8,2,3,51.098333333333336,0.11270351961377673,50.9975,51.22
rc_gda,8,4,3,52.83833333333333,0.03617089069035331,52.815,52.88
rc_gda,8,8,3,53.935833333333335,0.09689986240100369,53.86,54.045
rc_gda,8,16,3,54.05833333333333,0.08178987304876359,53.9825,54.144999999999996
rc_gda,8,32,3,53.910000000000004,0.027041634565984886,53.879999999999995,53.932500000000005
rc_gda,16,1,3,39.47416666666667,0.022684429314690915,39.45,39.495
rc_gda,16,2,3,49.48,0.3936130714292918,49.05,49.8225
rc_gda,16,4,3,52.16833333333333,0.0907377172587754,52.065,52.235
rc_gda,16,8,3,53.594166666666666,0.2707897400813633,53.295,53.8225
rc_gda,16,16,3,54.788333333333334,0.20396588767078885,54.56,54.9525
rc_gda,16,32,3,54.61666666666667,0.23278656175418103,54.37,54.832499999999996
rc_gda,32,1,3,36.27166666666667,0.4288526359174376,35.915,36.7475
rc_gda,32,2,3,43.74583333333333,0.5443421105640558,43.2875,44.3475
rc_gda,32,4,3,46.585,1.0634760222966946,45.7275,47.775
rc_gda,32,8,3,48.498333333333335,0.4980859196296721,48.065,49.042500000000004
rc_gda,32,16,3,50.571666666666665,0.14706149507377253,50.4125,50.7025
rc_gda,32,32,3,49.87166666666667,0.3080719612904283,49.635000000000005,50.22
rc_gda,64,1,3,30.5925,1.3166743143237818,29.155,31.740000000000002
rc_gda,64,2,3,33.6275,0.2990401310861127,33.442499999999995,33.9725
rc_gda,64,4,3,35.2725,0.17268106439328929,35.085,35.425
rc_gda,64,8,3,37.06833333333333,0.6506070882901092,36.582499999999996,37.8075
rc_gda,64,16,3,41.66916666666667,0.5504676042541781,41.07,42.1525
rc_gda,64,32,3,42.281666666666666,1.4666550662420021,41.3225,43.97
